id,consumed_time,available_time,transmitted_time,arrived_in_relay_time,udp_tcp_delay,total_delay
package 1,228713,222595,221610,222544,51,7103
package 2,228713,223612,223557,223595,17,5156
package 3,941513,233160,233082,233159,1,708431
package 4,941513,241806,241299,241778,28,700214
package 5,941513,245456,245297,245456,0,696216
package 6,941513,248504,248251,248504,0,693262
package 7,941513,252816,251961,252813,3,689552
package 8,941513,260394,259329,260381,13,682184
package 9,941513,261221,260766,261221,0,680747
package 10,941513,270682,270559,270681,1,670954
package 11,941513,272993,270598,272993,0,670915
package 12,941513,277092,276642,277092,0,664871
package 13,941513,283503,283414,283503,0,658099
package 14,941513,288759,288698,288758,1,652815
package 15,941513,309254,309199,309253,1,632314
package 16,941513,309358,309203,309358,0,632310
package 17,941513,310833,309988,310830,3,631525
package 18,941513,316926,316714,316926,0,624799
package 19,941513,323443,323368,323442,1,618145
package 20,941513,328802,327830,328802,0,613683
package 21,941513,344781,344516,344778,3,596997
package 22,941513,347196,347172,347195,1,594341
package 23,941513,349298,349254,349297,1,592259
package 24,941513,364117,363674,364117,0,577839
package 25,941513,366639,366289,366639,0,575224
package 26,941513,376624,376433,376624,0,565080
package 27,941513,382931,382714,382930,1,558799
package 28,941513,385349,385212,385348,1,556301
package 29,941513,391760,391651,391759,1,549862
package 30,941513,401640,401473,401639,1,540040
package 31,941513,402164,401790,402164,0,539723
package 32,941513,405318,405018,405317,1,536495
package 33,941513,414461,414433,414461,0,527080
package 34,941513,432224,431800,432223,1,509713
package 35,941513,436953,435640,436953,0,505873
package 36,941513,437164,436956,437163,1,504557
package 37,941513,452089,451371,452088,1,490142
package 38,941513,452509,452278,452508,1,489235
package 39,941513,464700,464384,464700,0,477129
package 40,941513,465015,463774,465015,0,477739
package 41,941513,467223,467164,467223,0,474349
package 42,941513,471322,470861,471321,1,470652
package 43,941513,485195,484049,485195,0,457464
package 44,941513,488874,488590,488874,0,452923
package 45,941513,493603,493579,493603,0,447934
package 46,941513,503591,503550,503588,3,437963
package 47,941513,505060,504478,505059,1,437035
package 48,941513,513467,513125,513467,0,428388
package 49,941513,517672,517129,517672,0,424384
package 50,941513,527761,527695,527761,0,413818
package 51,941513,535329,534965,535329,0,406548
package 52,941513,538588,538430,538587,1,403083
package 53,941513,539008,538393,539008,0,403120
package 54,941513,556455,556394,556455,0,385119
package 55,941513,561815,561643,561815,0,379870
package 56,941513,566125,565931,566124,1,375582
package 57,941513,575898,575331,575898,0,366182
package 58,941513,578526,577575,578526,0,363938
package 59,941513,581154,580738,581154,0,360775
package 60,941513,594923,594681,594922,1,346832
package 61,941513,596709,596523,596709,0,344990
package 62,941513,603962,603759,603961,1,337754
package 63,941513,608480,608246,608480,0,333267
package 64,941513,626137,625000,626137,0,316513
package 65,941513,626768,626465,626768,0,315048
package 66,941513,636227,635853,636227,0,305660
package 67,941513,646317,646246,646317,0,295267
package 68,941513,646633,645563,646633,0,295950
package 69,941513,647914,647424,647894,20,294089
package 70,941513,659143,658925,659140,3,282588
package 71,941513,664290,663477,664290,0,278036
package 72,941513,674064,673184,674064,0,268329
package 73,941513,674906,674391,674905,1,267122
package 74,941513,680475,680450,680475,0,261063
package 75,941513,681842,681018,681842,0,260495
package 76,941513,683209,683002,683209,0,258511
package 77,941513,695610,695306,695610,0,246207
package 78,941513,707487,707363,707487,0,234150
package 79,941513,716000,715596,716000,0,225917
package 80,941513,724934,724794,724934,0,216719
package 81,941513,732291,731792,732291,0,209721
package 82,941513,734604,734360,734603,1,207153
package 83,941513,740174,740150,740174,0,201363
package 84,941513,745430,745235,745429,1,196278
package 85,941513,752682,752621,752681,1,188892
package 86,941513,762666,761994,762666,0,179519
package 87,941513,765714,765258,765714,0,176255
package 88,941513,778221,777938,778221,0,163575
package 89,941513,780218,779300,780218,0,162213
package 90,941513,780534,780493,780533,1,161020
package 91,941513,792625,792297,792620,5,149216
package 92,941513,800187,800033,800187,0,141480
package 93,941513,809335,809016,809332,3,132497
package 94,941513,813115,812010,813115,0,129503
package 95,941513,821419,821230,821419,0,120283
package 96,941513,833401,833051,833400,1,108462
package 97,941513,836133,836051,836133,0,105462
package 98,941513,840547,840102,840547,0,101411
package 99,941513,844225,844118,844225,0,97395
package 100,941513,848114,847488,848114,0,94025
package 101,941513,853476,852900,853475,1,88613
package 102,941513,855683,854754,855682,1,86759
package 103,941513,871657,871290,871657,0,70223
package 104,941513,878594,878198,878594,0,63315
package 105,941513,883954,883501,883954,0,58012
package 106,941513,890996,889996,890996,0,51517
package 107,941513,896356,895870,896356,0,45643
package 108,941513,898564,898012,898564,0,43501
package 109,941513,900145,900081,900140,5,41432
package 110,941513,903608,903532,903608,0,37981
package 111,941513,924104,923337,924104,0,18176
package 112,941513,926836,926767,926836,0,14746
