Index,Time,x,y
node 0,6363,5.0,5.0
node 1,26163,5.0,203.0
node 2,45963,5.0,401.0
node 3,65763,5.0,599.0
node 4,85563,5.0,797.0
node 5,105363,5.0,995.0
node 6,130113,252.5,995.0
node 7,149913,252.5,797.0
node 8,169713,252.5,599.0
node 9,189513,252.5,401.0
node 10,209313,252.5,203.0
node 11,229113,252.5,5.0
node 12,253863,500.0,5.0
node 13,273663,500.0,203.0
node 14,293463,500.0,401.0
node 15,313263,500.0,599.0
node 16,333063,500.0,797.0
node 17,352863,500.0,995.0
node 18,377613,747.5,995.0
node 19,397413,747.5,797.0
node 20,417213,747.5,599.0
node 21,437013,747.5,401.0
node 22,456813,747.5,203.0
node 23,476613,747.5,5.0
node 24,501363,995.0,5.0
node 25,521163,995.0,203.0
node 26,540963,995.0,401.0
node 27,560763,995.0,599.0
node 28,580563,995.0,797.0
node 29,600363,995.0,995.0
node 30,674613,252.5,995.0
node 31,694413,252.5,797.0
node 32,714213,252.5,599.0
node 33,734013,252.5,401.0
node 34,758763,5.0,401.0
node 35,778563,5.0,599.0
node 36,798363,5.0,797.0
node 37,818163,5.0,995.0
node 38,897363,5.0,203.0
node 39,917163,5.0,5.0
node 40,941913,252.5,5.0
node 41,961713,252.5,203.0
node 42,986463,500.0,203.0
node 43,1006263,500.0,5.0
node 44,1085463,500.0,797.0
node 45,1105263,500.0,599.0
node 46,1144863,500.0,995.0
