Label,Number,Company,Type,Zone,Task type,State,Commercial,Technique,Amount,% Réussite,Début,Proposition
12651 - OBM VM dédié,12651,SYMARIS,OBM,Paris,LRS | Hosting,Sans suite,BENHADDOU,DUFAY,3800,30%,6/4/2014,7/9/2014
13849 -Hébergement (Support logiciel Libres Pack 20?),13849,ECOLE DU LOUVRE,Support,Paris,LRS | Support,Sans suite,STG_SIRIGU,MAUDET,20000,20%,7/2/2015,9/22/2016
13961 - STRATEGIE OPEN SOURCE,13961,GIE IRIS GROUPE SYSTEME U,Conseil,Paris,LPS | Assistance,Sans suite,CONTE,MAUDET,0,10%,9/2/2015,9/21/2015
14281 - Mise en place d'OBM & LinShare,14281,MAIRIE DE YOPOUGON,OBM,Paris,LGS l Service Forfait,Négociation,KISAKA,MAUDET,50000,25%,1/4/2016,4/1/2016
14282 - Services collaboratifs SAAS,14282,LA POSTE - DSI,OBM,GSO,LGS l Souscription,Sans suite,DESCHUTTER,VALENTIN,80000,30%,1/4/2016,9/15/2016
14283 - expertise mono,14283,GENDARMERIE NATIONALE,Support,Paris,LRS | Support,Sans suite,VASSILIEFF,MAUDET,7645,60%,1/4/2016,1/29/2016
14289 - SDOS,14289,VILLE DE SHERBROOKE,Conseil,CANADA,LCS | Forfait,Sans suite,IVOL,MAUDET,20000,10%,1/4/2016,4/13/2016
14290 - SDOS,14290,LA CAPITALE,Conseil,CANADA,LCS | Forfait,Sans suite,IVOL,MAUDET,20000,70%,1/4/2016,4/18/2016
14284 - UGAP - Intégration Firefox : documentation et accompagnement,14284,CD04,Infra,GSE,LPS | Forfait,Signée,PHILIPPENKO,VALENTIN,4841.64,100%,1/5/2016,1/7/2016
13614 - UGAP - Formation Postgres,13614,CONSEIL GENERAL DU VAR (CG 83),Formation,GSE,LPS | Assistance,Sans suite,PHILIPPENKO,VALENTIN,3000,20%,3/6/2015,4/16/2015
14295 - Mise en place de Linshare,14295,VILLE DE SAINT MICHEL SUR ORGE,LinShare,Paris,LGS l Service Forfait,Sans suite,STG_SIRIGU,MARTIN,5000,40%,1/7/2016,7/15/2016
14296 - [UGAP] LinSign JWS,14296,ASP PUBLIC,LinPKI,GSO,LGS l Service Forfait,Signée,DESCHUTTER,VALENTIN,44797.9,100%,1/7/2016,4/1/2016
14297 - AT Drupal 6,14297,NEWFARM AGRICONSULT,Studio,Paris,LPS | Assistance,Signée,BENHADDOU,MOUTON,1000,10%,1/7/2016,3/1/2016
14298 - migrationD8,14298,AGENCE BIBLIOGRAPHIQUE DE L'ENSEIGNEMENT SUPERIEUR,Studio,GSO,LPS | Forfait,Qualification,DESCHUTTER,VALENTIN,50000,30%,1/7/2016,1/29/2016
14299 - Marché PII - Lot 3 SLL 2016,14299,UGAP - UNION DES GROUPEMENTS D'ACHATS PUBLICS,OSSA,Paris,LRS | OSSA,Sans suite,VASSILIEFF,MAUDET,0,0%,1/7/2016,6/6/2016
14010 - Mise en place de Linshare [UGAP],14010,VILLE DE NANTERRE,LinShare,Paris,LGS l Service Forfait,Signée,BENHADDOU,CHAPELLON,4841.64,100%,9/22/2015,9/29/2015
14227 - LinPKI,14227,ADIE SENEGAL,LinPKI,Paris,LGS l Service Assistance,Perdue,KISAKA,MAUDET,200000,0%,1/8/2016,3/25/2016
14300 - OBM Online  AO CDG 59 2015-19,14300,COMMUNE DE SARS ET ROSIERES,OBM,Paris,LGS l Souscription,Signée,CONTE,CHAPELLON,54,100%,1/8/2016,1/8/2016
13667 - UGAP - Assistance sur Liferay,13667,CONSEIL GENERAL DU VAR (CG 83),Studio,GSE,LPS | Assistance,Sans suite,PHILIPPENKO,VALENTIN,1,0%,3/30/2015,5/14/2015
14302 -[UGAP]  Dev et mise en open source Logiciel Reporting - Suricate,14302,CH SAINT LO,Développement,Paris,LPS | Assistance,Sans suite,STG_SIRIGU,MAUDET,8000,0%,1/9/2016,7/15/2016
14303 - Schéma Directeur Open Source,14303,CH SAINT LO,Conseil,Paris,LCS | Forfait,Sans suite,STG_SIRIGU,MAUDET,15000,0%,1/9/2016,7/14/2016
14304 - Projet IAM,14304,CROIX ROUGE,LinID,Paris,LGS l Service Forfait,Sans suite,CONTE,CHAPELLON,20000,0%,1/9/2016,2/15/2016
14305 - Mission Ingénieur Dev PHP,14305,S.N.I.,Studio,Paris,LPS | Assistance,Perdue,BENHADDOU,CAMICAS,100000,0%,1/9/2016,1/18/2016
14306 - AO Messagerie Externalisé,14306,CAMIEG,OBM,Paris,LGS l Souscription,Sans suite,BENHADDOU,CHAPELLON,8000,0%,1/9/2016,1/20/2016
12003 - Installation et Support LinShare,12003,NEXTER GROUP,LinShare,Paris,LGS l Souscription,Négociation,BOSSHARD,MARTIN,18000,1%,9/18/2013,11/20/2014
12251 - [UGAP] Migration OBM,12251,MAIRIE DE REMIREMONT,OBM,Paris,LGS l Service Forfait,Sans suite,BENHADDOU,MAUDET,24826,0%,12/20/2013,7/18/2014
13626 - UGAP - Prestation sur Alcasar,13626,CONSEIL GENERAL DU VAR (CG 83),Infra,GSE,LPS | Assistance,Sans suite,PHILIPPENKO,VILAREM,1200,0%,3/11/2015,4/15/2015
14307 - Prestatiosn expertie dev agile,14307,EDF - DIRECTION DES ACHATS,Studio,Paris,LPS | Assistance,Sans suite,CONTE,ZAPOLSKY,0,0%,1/11/2016,1/13/2016
14308 - OBM Online AO CDG 59 2015-19,14308,VILLE DE LA MADELEINE,OBM,Paris,LGS l Souscription,Signée,CONTE,CHAPELLON,7026,100%,1/4/2016,1/7/2016
14309 - Journée Expertise LinID,14309,BIBILOTHEQUE PUBLIQUE D'INFORMATION (BPI),LinID,Paris,LGS l Service Assistance,Signée,BOISSONNET,CHAPELLON,1400,100%,1/11/2016,1/11/2016
